feature,machine,supervisor,user,disabled,sv39,sv48,sv57,bare_metal,virtualized,g_disabled,g_sv39,g_sv48,g_sv57,extra_args,repeat_times
zicsr,x,x,x,x,x,x,x,x,,,,,,
zicond,x,x,x,x,x,x,x,x,,,,,,
zifencei,x,x,x,x,x,x,x,x,,,,,,
za64rs,x,x,x,x,x,x,x,x,,,,,,
zicntr_zihpm_sscounterenw,x,x,x,x,x,x,x,x,,,,,,
sstc,x,x,x,x,x,x,x,x,,,,,,
zihintntl,x,x,x,x,x,x,x,x,,,,,,1
exceptions,x,x,x,x,x,x,x,x,,,,,,1
zihintpause,x,x,x,x,x,x,x,x,,,,,,
zawrs,x,x,x,x,x,x,x,x,,,,,,
zicbom_zicboz_zicbop_zic64b,x,x,x,x,x,x,x,x,,,,,,
svinval,,x,x,,x,x,x,x,,,,,,1
svadu,,x,x,,x,x,x,x,,,,,,1
svade,,x,x,,x,x,x,x,,,,,,
svnapot,,x,,,x,x,x,x,,,,,,1
paging,,x,x,,x,x,x,x,,,,,--more_os_pages,1
sscofpmf,x,x,x,,x,x,x,x,,,,,,1
zkt,x,,,x,x,x,x,x,,,,,,
ssu64xl,,,x,x,x,x,x,x,,,,,,
hypervisor_paging,,x,x,x,x,x,x,x,x,x,x,x,x,,1
hypervisor_paging_basic,,x,x,x,x,x,x,x,x,x,x,x,x,,1
hypervisor_paging_csr_ad,x,x,x,,x,x,x,x,x,x,x,x,x,,1
hypervisor_paging_faults,,x,x,x,x,x,x,x,x,,x,x,x,,1
hypervisor_paging_permissions_023,,x,x,,x,x,x,x,x,x,x,x,x,,1
hypervisor_paging_permissions_024,,x,x,,x,x,x,x,x,x,x,x,x,,1
hypervisor_exceptions,,x,x,,x,x,x,x,x,x,x,x,,1
